title,sold price,solddate,link
Shop on eBay,20.0,Error 0: No Data or Not Parsed Correctly,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA
canon powershot g11 cameras with one charger and sync cable,130.0,Sold  8 Oct 2022,https://www.ebay.com.au/itm/125546933730?hash=item1d3b2e2de2%3Ag%3AyGAAAOSw9pVjPPV9&amdata=enc%3AAQAHAAAAoMQXCuYntWcEL%2FEJlzh200psLIbgioF78zlrElwgywr6ZGGlmBDKagl2rWDaYxzfnn4G2PQfCGt9Q8hEBdOBBke8lGQVbgaYiVjg1uvE%2Fv86Aiuy981eMsB2UUjFjJ%2F5s4ZPb0ilP3b8OnBdu99r8Tf3Ha2fkZ8DrozGhkUy1uN3gVS8Ep9Ux3AOKQbEZoN9kAZ8gJh0CKqFRC1Vnl1fqE4%3D%7Ctkp%3ABk9SR8KXo4iGYQ&LH_Auction=%270%27
Canon PowerShot G11 Digital Camera - Black - Untested,41.0,Sold  11 Oct 2022,https://www.ebay.com.au/itm/295252969916?epid=77456913&hash=item44be72c9bc%3Ag%3AmwcAAOSwm%7EtjMlNm&amdata=enc%3AAQAHAAAAoL3zO46JiCFXVwmDdqD6RJe6TxASLKs7yWio5YA1ii5cKUvAN091pCE%2BzvHLnpLerV0JqPkEBi2u8FQatj%2FdhmA6FFM3qYPVhSPkjhz5M%2BgALqa40TzyXtPOtCPH%2B%2BwmTonNLxfB%2BFLhjMixqx3EPUfaF5tA9St0aL2qk%2BokFoy6VrEaG8HzRsuImik2hDN%2FQr0mfgwKbCBbkAga9d9PoxU%3D%7Ctkp%3ABk9SR8KXo4iGYQ&LH_Auction=%270%27
Canon PowerShot G11 Digital Camera (Black) Great Condition.,100.0,Sold  13 Oct 2022,https://www.ebay.com.au/itm/175441579100?hash=item28d9220c5c%3Ag%3Aq8kAAOSw7IxjOqNh&amdata=enc%3AAQAHAAAAoB0u7eeev%2Fr4qNG1vxd7Gt7Pesr4Ir5LIUoPpoBdBatNNJVrHhJjVG9lYyw0AfCmnXP%2BrSwZdKJjjdAvBkN4OL70KdO3p8F1JY7j7xyUTxe5YtTLl%2BA0t3pO65JlA5zCsUknzj5UHnAMfY86G8m%2BvTCFOpKPN0cMnEQ1dn24KUTX5KRIIfXf%2BNKh9ST4E4v7mShcOaKh7EESO6iBfmacBzw%3D%7Ctkp%3ABk9SR8KXo4iGYQ&LH_Auction=%270%27
"Canon PowerShot G11 10MP Digital Camera With Box , Charger & Manual",59.0,Sold  1 Oct 2022,https://www.ebay.com.au/itm/275481280774?hash=item4023f6c106%3Ag%3Ah3UAAOSw5gZjNV6f&amdata=enc%3AAQAHAAAAoHYmw0Uhc1WYPeKflthuiqX6FSh7rALzAlNhIfmB%2B89WCvsll77%2F7%2BRi1ay6ES4ur8BO4q7wXx6e%2FBEJKzLNbyF6xfj4cunqInV%2FatNpdktPqTZuEscOYxIVde9NAtu%2BuyaTuq%2BZSt%2F3vXWCG6hvWYX0b9rfu8WP0h%2BY8U5t8TJfZKxgBGMGj%2BHCX9MY9V2LVUuG3WOKTpCHfo55VdxBKJc%3D%7Ctkp%3ABk9SR8KXo4iGYQ&LH_Auction=%270%27
Canon PowerShot G11 10MP Digital Camera (Made in Japan) | Complete Setup ,129.95,Sold  21 Oct 2022,https://www.ebay.com.au/itm/304663687424?epid=152977785&hash=item46ef5ef100%3Ag%3ASp0AAOSwitFjUAC8&amdata=enc%3AAQAHAAAAoJ%2BjwvhY2teRlbnOH%2BNmWa1V%2F5e%2BDWDMxhH69Wk1OlW8P4H9AWLAjXIwPGaxMZhJH2zkJdI%2BKc52HkpT0ZR95qvZs8G54MKca%2Bh4PPMSlll4EneGqJhGtB5AphOSIJFyssUxLszLsBwTDBNorKuC64j0X86oILNPS1ZcKN7VgF8%2BBLhF523aCwHgx5jOrf1Qi8zNmAAO51nBPhS1wY8csaw%3D%7Ctkp%3ABk9SR8SXo4iGYQ&LH_Auction=%270%27
