title,sold price,solddate,link
FujiFilm S3 Pro 12mp Digital Camera with Nikon Nikkor 18-70mm 3.5-4.5 G lens,157.5,Sold  27 Oct 2022,https://www.ebay.com.au/itm/304668297615?hash=item46efa5498f%3Ag%3AQToAAOSwFytjUN54&amdata=enc%3AAQAHAAAAoPkoPB2yHp8Jw7BX2VvQI7UUUrnMBcsgKFdx3apXxn5h%2F3VBQEmtKmAbqXJIU45Hc8lk1F%2BrkLaybXQ7N0Qb1WhpVZIqn%2FeYtZE6dqHRGE64OPLCuyJKoMsPps250UUxDICFxnLPW0WlDa7Jox%2BapP4fcDlysCUk%2B%2F4Y%2BhqIGnxiCNUai4Cxa0adsXoi8GeNur1%2FU479GY3D54IbhzVrkHU%3D%7Ctkp%3ABk9SR6LOtJqGYQ&LH_Auction=%270%27
Panasonic LUMIX G85 All-Rounder Camera + 12-60mm Lens,560.0,Sold  16 Oct 2022,https://www.ebay.com.au/itm/155200441872?hash=item2422aace10%3Ag%3A9WMAAOSwgHtjQiY%7E&amdata=enc%3AAQAHAAAAoOlsjgxlsXIfYCaadnY4Vno%2FB1wVr2NfZBXrU6lXF0Ieea4zGJNL%2FlSOApPp7VSGb24b%2Bi8SdDY8ga2g3313AlkvUbFSEdG1c4QzzVy8BnF4SLwx3KCePZTPusBEjEEdduJhs%2FOVerNHkfRieeAryNjPBjtyxXUxB%2BGeSgBzPiBXqdZYjQl7VpqvpufVmhWbg0c%2FucwRgCWvyGAF77pVJvA%3D%7Ctkp%3ABk9SR6LOtJqGYQ&LH_Auction=%270%27
"*MINT* Panasonic LUMIX G85: 12-60mm Lens, Grip, Cage, SD Card, Bag, LOW 460 SHT",537.0,Sold  27 Oct 2022,https://www.ebay.com.au/itm/195431389484?epid=13036648828&hash=item2d809e592c%3Ag%3A9MkAAOSwQB1jU44W&amdata=enc%3AAQAHAAAAoETiBdfVEL3vnfBXk%2FMSRgs3iwzOyBjbFKNZKNRqwv8TGuxQUBTaR3Sr9MWKC31cfkRp%2FO28IakJ82lE4GgCZ2n8jiJgaZYnTXWB8BB%2FLm81SYv7Zx5%2FeM42yMSwxYe4zQakeAF2p8MxAg1M59fhp%2BEaMhDIprG48bTPpBIj1%2FptQmKdTWoNb4JL4VnlOgP0YLzMCdWPe4skjoB%2B9%2BeEmyE%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
[191 Shutter] Lumix G85 + 12-60mm + 25mm + DC Coupler,600.0,Sold  24 Sep 2022,https://www.ebay.com.au/itm/325346215815?hash=item4bc0254787%3Ag%3AQQIAAOSwZrJjJVn1&amdata=enc%3AAQAHAAAAoMymC56817qYqvt%2Bxo5PLFrqAGlqGqbiCLcnt8NVT3E8kdIbvXVz5A5BpexW09GFFiiZp6ME%2FApuWI6WpZPGm9UOjYQ48qPpGoXQqWghnV28mMRGSahSW%2Bo1EP%2B4qqckh0RgHL3rszwChBMGFh8MG%2Byek%2FJEM4OMyU3VW3lWLbugGLcbt4nWpsT3snCYe3TxlDE5zNJ3EBI9orQKuz2tVhw%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Canon PowerShot G12 - Perfect Condition - Comes with box and all accessories ,181.39,Sold  23 Sep 2022,https://www.ebay.com.au/itm/394243636604?hash=item5bcac07d7c%3Ag%3AGJQAAOSwWXhjIrG0&amdata=enc%3AAQAHAAAAoKVnOApSBeYhqxwayTPRwmTuuQK3RulnJ3eCZodO4yt8bFXzTbIzFts%2BEx61k1U4KlZnkZP%2B2Jz%2FbaWexA4vYg3m9%2FuIVTHKOHbFQYjk%2F8KDLhfwlYLWruDCMK6LLqunEKdmIg%2BTa7VYN55yzcO0CX9NewSLW%2BAwubzOrg6XBF1tw%2B%2F6O8c6VaFfD39HuM61IC13m%2FeD2tNmhGF6AfI7LtA%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Canon Powershot G12 Digital Camera 10MP Black With Charger - Excellent Condition,225.0,Sold  30 Aug 2022,https://www.ebay.com.au/itm/175396566149?hash=item28d6733485%3Ag%3AybIAAOSwet5jCZW-&amdata=enc%3AAQAHAAAAoGA%2B1hcVuMgjYEeeANhv8edq4tmL2c5TQtnvh%2Ft1s8wPsl7EJjLBMmiBXzo2766X9JJlOOtH29zFLsrchKEEfqDHppaKN09BSsp%2Fye4j2Q1lU1BypqGzrNhkTt3ANOnRBoMhrhvMFwtZ4erbddk%2F1jmNVhMRi1rmsgS0w9rk1dK1SFxpV9EM4xvc7RF7s%2BHWKa3KnNy2iY2TKyJOvb6hQvM%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Canon - Powershot G12 - Digital Camera - Black - With Charger - Good Condition -,200.0,Sold  15 Sep 2022,https://www.ebay.com.au/itm/165676890666?hash=item26931cba2a%3Ag%3AbUoAAOSwJbFjIpHq&amdata=enc%3AAQAHAAAAoLfv%2FhEmm9Co0Hnz1PwRc32FjoJOLBoeVckjc5dxx25y%2Bmvsf9qYB%2B4RZG7E0VWSUfS%2BzewaBOzZKGeCvLa9pDmsQ55krxvFFd60AgTXF0uS6UkymNmOVWqmTvzCC4gZpHqX%2BgJpLFaDderKFEXZIGr3iVa8yTJNCorRbf%2FkzGIwxbRhkeLaiaH1hslL7swYXQrfD1Ix0GDPPHzHHak5Dcs%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Canon - Powershot G12 - Digital Camera - Black  W/Charger & other Accessories.,100.0,Sold  18 Aug 2022,https://www.ebay.com.au/itm/185538891953?hash=item2b32fad0b1%3Ag%3AWIIAAOSwCbdi-jHN&amdata=enc%3AAQAHAAAAoAMepzg%2BLRBUoCQ46BDTHvY4JI004%2BDaBUgGitw%2BpcN%2FKiQkA08obiSvUn06N4%2FRSg6IlDqMBs0BW9lSQgHQP8lS24KfPjy2QnLnEnp9lXbFGHKW736QnoNtuwyfjX5VJx0VI8Q2Aayhw3vtGo4eBnwT2ZzfFwVJtnZZLmwyBHsuSJ0TlL%2BSJ2%2FfknWpvmSDEjp1VE%2FjvRGjfj4U78rkrM0%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Canon PowerShot G12 10MP Digital Camera NOT TESTED,98.57,Sold  30 Oct 2022,https://www.ebay.com.au/itm/115581430626?hash=item1ae930ab62%3Ag%3Aoc8AAOSwCT5jWd6Z&amdata=enc%3AAQAHAAAAoJJF9r127D3mwK5yfd7wXB9t8QEHhzz1Y9G6h3iM4%2Bca2dFCYlIxjS7NlhNjwoG71x5rxwwrmW%2Fxtkvnxz5y06xzr3gOLT1nSmnZUDvAaIsGlJ4qw99Ya%2B4%2BRnm62q6oGh0zZUfCT5Vy8eIKRt8ZG0dhCSg7teAlyhv8tLSZThUHTqHW1Bf%2BNlWDkuy5zWxNydQ1Ehuym7ZFbB1D3rWDAAg%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
Panasonic LUMIX G100 20.3MP Mirrorless Vlogging Camera (12-32mm f/3.5-5.6...,409.0,Sold  11 Sep 2022,https://www.ebay.com.au/itm/225147935297?epid=28040173473&hash=item346bdcda41%3Ag%3AkZoAAOSw7WNjE9QK&amdata=enc%3AAQAHAAAAoLsD%2BQJHV3RiH6ALzMax10zFkDGu7BU5zCBJ%2F8clOH15wZ6XUn82jA5UwBv0AT%2FBaC74beQR8BXzg%2Foct18DXAgf8nTvGQF%2BJ9IVbuDUT0NSTh92x910wBut4w4Xo%2FtrlmHTgE%2FA97t4TGqx6WAkrZ18i7T80iaCQ9rhoDurUWSYe9bn6XtjYyLfj7P%2F1mEgsPBQ2NwCuZJwn3Tfb8m4I30%3D%7Ctkp%3ABk9SR6TOtJqGYQ&LH_Auction=%270%27
