title,sold_price,sold_date,link,hash
NIKON D300 12.3 Megapixel Digital SLR Camera with 18-200MM lens 1:3.5-5.6G ED,304.0,2022-11-03,https://www.ebay.com.au/itm/185634002904?hash=item2b38a617d8%3Ag%3AVusAAOSwLFxiz5nQ&amdata=enc%3AAQAHAAAAoMPfHVO24KWl%2F9f0tcAFuYjUZabDEJ0tC7NN91FnxozIZLeLh2D3IEbsR7Ik61j%2FQZmbrghKHcJqPw2oVCHOrOv526jgjWjSNYQrfSyt6T9owrL2uIQFvs8lObqlbrcK5FTRX0%2Fm5Q0VR%2B23De%2B75PLEE%2BVSZZuNYIyoA4KACmOFrRAXnOcVgbMP6YBP1cTWrCkQ1uL9nlFEVAu%2BIPqs34k%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B65DBF0>
FujiFilm S3 Pro 12mp Digital Camera with Nikon Nikkor 18-70mm 3.5-4.5 G lens,157.5,2022-10-27,https://www.ebay.com.au/itm/304668297615?hash=item46efa5498f%3Ag%3AQToAAOSwFytjUN54&amdata=enc%3AAQAHAAAAoPkoPB2yHp8Jw7BX2VvQI7UUUrnMBcsgKFdx3apXxn5hhcdrCSsLdk2ARQc7sh%2F6%2BgfFWpSoOEl1%2BdmRaQXwLWcwGtXEpSPF4fvHgBg8EO9rBCj4KRd6NmrokbXX1ItvYTTvRKMByVqRpb%2Fv%2FraDBg5FELcuj%2FA62zFTn4N5O35dKh8OYjeXlN0KFOxBsK6dcet8y%2B74iCytH%2BOd%2Fv5Xhf0%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46230>
Panasonic LUMIX G85 All-Rounder Camera + 12-60mm Lens,560.0,2022-10-16,https://www.ebay.com.au/itm/155200441872?hash=item2422aace10%3Ag%3A9WMAAOSwgHtjQiY%7E&amdata=enc%3AAQAHAAAAoOlsjgxlsXIfYCaadnY4Vno%2FB1wVr2NfZBXrU6lXF0IeN3qL2qC6QvtHajvMSeDLmyADkK7wAPKxmczLzcky7e5aS9B%2BaGN2%2FEOAFc94Nf%2FgDRKRn59fEtulerrGFzr3LQ1TBeEmbKdaQqLljmcZPUMt%2FFqgWGarWKJKMxAEDbBbGFs%2FOcAr%2BGnS6HJ1%2FXkrTDI%2Bay7MvfCH4NcCaSy8ry4%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46470>
"*MINT* Panasonic LUMIX G85: 12-60mm Lens, Grip, Cage, SD Card, Bag, LOW 460 SHT",537.0,2022-10-27,https://www.ebay.com.au/itm/195431389484?epid=13036648828&hash=item2d809e592c%3Ag%3A9MkAAOSwQB1jU44W&amdata=enc%3AAQAHAAAAoETiBdfVEL3vnfBXk%2FMSRgs3iwzOyBjbFKNZKNRqwv8TbTfEQnH%2FWDkYzA0coZOXUu%2Bo8E8P31tGLmfuVpo7YrUiMB5iet3FACu9gLlTmt%2BIjqLSRD6zh6dajqPEbJuGN%2Fv3rGKHdac14BkadimDYyTz86XlzpOMno8QczHgjKnXEWOXAKoHN7LEq2LhBYHBtvIsw1073Or9k8ya2PjYTaE%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46270>
[191 Shutter] Lumix G85 + 12-60mm + 25mm + DC Coupler,600.0,2022-09-24,https://www.ebay.com.au/itm/325346215815?hash=item4bc0254787%3Ag%3AQQIAAOSwZrJjJVn1&amdata=enc%3AAQAHAAAAoMymC56817qYqvt%2Bxo5PLFrqAGlqGqbiCLcnt8NVT3E8LkUtFIZ1gaySZEZSPv1Yn%2FfHcikA8N181PKE8rdKUSuLXydAvEaJbN9fdpxBuEAHt0V6icvyYo9YAk9YEuPYOxar9u6rTKH2K%2F8z4RxYbv82IsMXsQwiby%2Bp1LMXcw%2BdIA1MjSH5RDO5Q4VjdMiF5moio9hNcnnk2XvlP7O4xbI%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B65DDD0>
Canon PowerShot G12 - Perfect Condition - Comes with box and all accessories ,181.39,2022-09-23,https://www.ebay.com.au/itm/394243636604?hash=item5bcac07d7c%3Ag%3AGJQAAOSwWXhjIrG0&amdata=enc%3AAQAHAAAAoKVnOApSBeYhqxwayTPRwmTuuQK3RulnJ3eCZodO4yt8zsc%2B7qjxvWVnP5yEGejIRNLhtPWjisV8cd%2BmQqoEmmu2f%2F05rKjmpHOB3BycDunjHyO%2BoGTrw4YKEi9qYs0SHeENPKBDq3rwPs8Jd3ZwlnAjOwaDqGysT9le1aFkZtfHWOWT6E3vkZaILce1J5GrYLI2kacrJgUgnM%2FWRDxOngE%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46830>
Canon Powershot G12 Digital Camera 10MP Black With Charger - Excellent Condition,225.0,2022-08-30,https://www.ebay.com.au/itm/175396566149?hash=item28d6733485%3Ag%3AybIAAOSwet5jCZW-&amdata=enc%3AAQAHAAAAoGA%2B1hcVuMgjYEeeANhv8edq4tmL2c5TQtnvh%2Ft1s8wPEPPBigH%2BWF84tJQKXhvTmBpXds3pjd4XYMLpNu%2BFtQCVpKorZ6m3mI8HnPhjC2X5GA4MX7YznVgVjbFiTpSj5MppkycxLLI4kqPTLALUSzEow5i%2Fw%2BbpwbQ5Q%2BU01bxuDGXhvC3QrH1JP7nWGtpr91FPbwdH2Q3tBr2B0cafK3Q%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46770>
Canon - Powershot G12 - Digital Camera - Black - With Charger - Good Condition -,200.0,2022-09-15,https://www.ebay.com.au/itm/165676890666?hash=item26931cba2a%3Ag%3AbUoAAOSwJbFjIpHq&amdata=enc%3AAQAHAAAAoLfv%2FhEmm9Co0Hnz1PwRc32FjoJOLBoeVckjc5dxx25y5SQ3NC1Ls8n%2FtP09bcqwMDkzDdJW7H5uTnmbL12oxQ75OEi%2BqYduLZiy4s2h1909KjgUxnMFq8n4n%2FJngVMnVMSi7jX23v19uyRvBVOCT1rMjyLzicq2WmjldfTR%2BnbiSiVAfitTTmCQ3clYGjJ6jOFUdVUwVUu6BBDsE3qOhYw%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46750>
Canon - Powershot G12 - Digital Camera - Black  W/Charger & other Accessories.,100.0,2022-08-18,https://www.ebay.com.au/itm/185538891953?hash=item2b32fad0b1%3Ag%3AWIIAAOSwCbdi-jHN&amdata=enc%3AAQAHAAAAoAMepzg%2BLRBUoCQ46BDTHvY4JI004%2BDaBUgGitw%2BpcN%2FfLPo45VZMIznpgLZxTl%2FWel3B8WU0AE1atTEa5gnpSOdniqNFYqtWQ5HZ0JRHAe%2B9lajo3lOWduzsSnKO69YDzh%2Fb1YE2V3UGx%2BUfWOSPgQNPB3VoTQxHYr6wAQlks6nkeNK4Jd7nbtCIlXnsdKtbPLjbpK0n357UkTIHU1UNHM%3D%7Ctkp%3ABk9SR97HmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46330>
Panasonic Lumix G85 Mirrorless Camera with 12-60mm Lens - Black,476.0,2022-11-04,https://www.ebay.com.au/itm/125589745311?epid=2255532425&hash=item1d3dbb6e9f%3Ag%3A1B0AAOSwbBZjWa20&amdata=enc%3AAQAHAAAAoCgeRdPAjvYtFFXt%2F5%2B7G1li%2F70IfJehfmHSFEKSi0Ff9lCMmJ3FNu3Bl1iUpr0ZdcsZfG1O%2FVW6cGGseyVURO59XIm6yPjR%2FOz%2FsE%2Fb1i5SeJ1xyZGzTUPbbWDd5BTmuHxbd0sGy66RxBeEWe%2Fz5lZMQkvI7EBTQEGYjiGwrb8KDTEuInGUM2F81naYgefZ7pnnsB2z8sOXSkNalLpYHyU%3D%7Ctkp%3ABk9SR-DHmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC46710>
