title,sold_price,sold_date,link,hash
canon powershot g11 cameras with one charger and sync cable,130.0,2022-10-08,https://www.ebay.com.au/itm/125546933730?hash=item1d3b2e2de2%3Ag%3AyGAAAOSw9pVjPPV9&amdata=enc%3AAQAHAAAAoMQXCuYntWcEL%2FEJlzh200psLIbgioF78zlrElwgywr6eHLH0z8FTXS1ENdfB2dmrVBbKG6EO6%2B6JnUYixpHGR7Y1OoGeIHVA2SsyzYebqZrocTOptwIkeQPPwlXU5iVwYNW5O3jbyCmimI4KtR6PW0GZbASEV3eHkDNM1tCXTpnwXlvnbm0Dty0kRCmCf3vAMbGs4ghIJDZW35dm0gRgJ8%3D%7Ctkp%3ABk9SR6CvmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B35C490>
Canon PowerShot G11 Digital Camera - Black - Untested,41.0,2022-10-11,https://www.ebay.com.au/itm/295252969916?epid=77456913&hash=item44be72c9bc%3Ag%3AmwcAAOSwm%7EtjMlNm&amdata=enc%3AAQAHAAAAoL3zO46JiCFXVwmDdqD6RJe6TxASLKs7yWio5YA1ii5cx%2BPkXab1sQ22SEukNbto4SkymUITIALz9HtaSiYtUgprJ%2FX5Pg0P4jUmdO77ElX9ywRQKflyio%2BvdgbRmsLPF0zLH2eTROBzUMwLYHMlFph3ot1zzA5aelheORoPd%2Bb8AUXwSY2DN99ptLnnzWg88pY0MPwUbNiowdQyefOV0Qc%3D%7Ctkp%3ABk9SR6CvmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B35C2D0>
Canon PowerShot G11 Digital Camera (Black) Great Condition.,100.0,2022-10-13,https://www.ebay.com.au/itm/175441579100?hash=item28d9220c5c%3Ag%3Aq8kAAOSw7IxjOqNh&amdata=enc%3AAQAHAAAAoB0u7eeev%2Fr4qNG1vxd7Gt7Pesr4Ir5LIUoPpoBdBatNnOrdauBQYlftXMJJvqOkk4NQ6Nu3QxXgp4QLSHEvc9AUKn1XA%2Flwtsrj8Y8g6E0fs3GBhuqmvm4DRX4n5Ew%2BI7c47QNQ1stgsIWK5bI79h8MU8hnzft17RFe6lNJP%2BgBhLLoq4D1QIBeS3yqyKOcB0oMNEMMnD%2F0eFSNuEVG83w%3D%7Ctkp%3ABk9SR6CvmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B35C290>
"Canon PowerShot G11 10MP Digital Camera With Box , Charger & Manual",59.0,2022-10-01,https://www.ebay.com.au/itm/275481280774?hash=item4023f6c106%3Ag%3Ah3UAAOSw5gZjNV6f&amdata=enc%3AAQAHAAAAoHYmw0Uhc1WYPeKflthuiqX6FSh7rALzAlNhIfmB%2B89W5CGRVrUWkKWgaqQ5ztZ2oQTcB7zZcRjfsN9O6RFtJz8RhVBN8NAMvsJ7Us3crplwSSwKNnSONpgbpW5xRmhpZ2uNb5mjNB3GWMNROK6aFyUzm5IZi4UXgOC8VXNBXk7SxVBHfZp8vhPoFaBnzG5je0sO%2FlTpuFuVl%2BOZbm14fyk%3D%7Ctkp%3ABk9SR6CvmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B35C250>
Canon PowerShot G11 10MP Digital Camera (Made in Japan) | Complete Setup ,129.95,2022-10-21,https://www.ebay.com.au/itm/304663687424?epid=152977785&hash=item46ef5ef100%3Ag%3ASp0AAOSwitFjUAC8&amdata=enc%3AAQAHAAAAoJ%2BjwvhY2teRlbnOH%2BNmWa1V%2F5e%2BDWDMxhH69Wk1OlW8Z030smyVxI9HmhGV5P8jA%2Brxm7RHBV%2FZpY3BM%2F2RUkpmOvtZtd%2ByrD%2BwFHD28VQ2AF5MyZmAMTHVxydfr1alLtpVpvKcVHiS0gdamszpbxUTqWZu6lpU2d7cYpZllVrAa5msPlmV%2FZCw5s4Nt6DC7xhko3h7mfr%2FDh6p7RUyriY%3D%7Ctkp%3ABk9SR6CvmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005B35C450>
