title,sold_price,sold_date,link,hash
HP DL380 G10 STANDARD HEATSINK - 875070-001 839274-001 873592-001,60.0,2022-11-02,https://www.ebay.com.au/itm/125515024185?hash=item1d39474739%3Ag%3APH8AAOSwVxdjI735&amdata=enc%3AAQAHAAAAoLB7k%2Bc8sWEHphiuZzXgPzYW7LVtEZo8BXx3PyKP9NT%2B9HSw1tzrdb3x9SDK%2FvD25hczpENUz8tRqiGYPfATPRoZE5B0EEHfcJGIO%2ByhvBKrMJUh6S5BBWgq6gElNTlu8Ae9MDcprmtWzc3fLp2hYAoIolTggyM3frRRoj4w1gNicI5FE%2BIIUOPiCJiQqStP0rrw3LJ7X%2Bq0d%2FhWjDnVOF8%3D%7Ctkp%3ABk9SR_qZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36DD0>
"2.5"" SAS SATA SSD Hard Drive Tray Caddy For HP Proliant DL380 DL360 Gen 10 G10",41.93,2022-11-01,https://www.ebay.com.au/itm/153595259072?hash=item23c2fda8c0%3Ag%3A%7EBgAAOSwgnFdS6H%7E&amdata=enc%3AAQAHAAAA4NgF%2FW1YZPIFdEypGyN1FJEH5imBjgPHOP045SNxF4YJovvW%2Fvgt66DNN0WEnsgxu%2FWdCvPuhiakqcEKUREsg8jWF%2FdzptxoQDmsC54RkYDtGddwLmS02zoP4tHuHE8Cy1qHNdhZQcGdvVa1Ysnu09Q5EbR62pX6VIDA9t%2BctJKupMJ%2BKqTQxsbpWWXHpMH8Zsjqa%2BX6golcruvJ3K4HhXL1DzBxywKg9ZDn%2FdZveMwWMGgZGgJAOpHf0aMoJ%2B1AsoAa7Mq47Iutzt1VUeVIsXC3YG5aauMCcKofUHg0SqLY%7Ctkp%3ABk9SR_qZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36890>
"10X For HP 2.5"" NVME DL360 DL380 G10 Gen 10 Server HDD Tray Caddy 727695-001",249.0,2022-10-31,https://www.ebay.com.au/itm/295069098185?hash=item44b37d20c9%3Ag%3ADMkAAOSwWLdivADz&amdata=enc%3AAQAHAAAAoIcwAk6AoIWQsLZ6nxdQQc04cBekPwbiBJCfKyvq0fx2xhV41wfndJxVmZevCbaj%2B7y3jgsFFHbSR2ZuMrzYQuG1HUYOMLSolvjbvo63lp2mCDxggWB3rT8iuuQCtokiHK%2FWDWldAE3JBYXBJzSu9FOk4QsotqyKZ4l9VzsXc1E0ucao%2BGFF6IBLztTJ4KVr83g7xgPDl7JnSUWJViXBATc%3D%7Ctkp%3ABk9SR_qZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36870>
"727695 2.5"" HDD drive tray caddy for HP ML350 DL380 DL360 G10 Gen10 NVMe server",33.59,2022-10-25,https://www.ebay.com.au/itm/333683679939?hash=item4db118e2c3%3Ag%3AiGMAAOSwY%7EVdSmrW&amdata=enc%3AAQAHAAAAoESalSNIm2%2FY08TmymBlRx6cmmSSu%2F2yXVrsJqUzqzexBCG1Hxidzq4xalR0w6adio4xYiSMWU4uOvsC7zxEI5iNOBbIk2ktotBtm5FifA4UEdGpu%2F2yu%2FSmv3r1Ifn8Vi%2BPyCTOUVzpMxDWIMzk5NVzYS9td7AzVciQVwVb72JRmcv5PtkgrcPIYHnwIJBdXStHJDUrVVYEwTZOL9XpskQ%3D%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36830>
"PCS/Lot HP 670033-001 DL360,DL380... G10 2.5"" HD Blank Caddy Filler 652991-001",3.0,2022-10-24,https://www.ebay.com.au/itm/373043598978?epid=12023871681&hash=item56db219682%3Ag%3A05EAAOSww31dsZzi&amdata=enc%3AAQAHAAAA4LwychIBvE7QRfVRnnrGZdG1OYOTBcGIyR1eC1gsRh6mP2x7%2BbEOPRZjKE4Qn415YBwjO9IRgB%2BC6b%2BwsJYCiOyufZj4C1pmkr3gYHO5oSWoHY2FVRvlZIWCe7lxe0o6VKlicM%2F22ZYVp8Q9J7Mhk5%2FF74syy%2ByufR02YytchNUiSw1wBOHK0R7oX%2BCuNNSmWPZWOhg5af1OLozUh16IbT1t5IeQVIWiBIltVSkleea62lq8CA6f0WONXiFwuqsffDfRAwTt%2FCKcNjn%2BVMbkcJXZIAWaTBxZ7i65JXwcXO82%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36D90>
For HP 729870-002 ProLiant DL380 DL180 G10 DL385 DL385p G9 2U Rackmount Rail Kit,99.0,2022-10-17,https://www.ebay.com.au/itm/385079515647?hash=item59a88719ff%3Ag%3AItoAAOSw2W9jBfcT&amdata=enc%3AAQAHAAAAoFbkDc4fKusHLyymJ9CLeEi%2F4rnMvj1muyEqLTs%2B0SaYQLEjyBToGd37ytc1HFd%2FDkgWZ7IJIWl8BIZP%2FQHBUk7n4rRytzUbY6foGfyDhViKYfZ7O1c4UBVXTx31xVglIB8z6MS%2FfagalbhpvI30FBCw6Se00CWOwK7e0zWw2m39oMfbOUBPUcO2tUMxR4%2FLBSELNnnmrGZqMn29pHHoYZA%3D%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36C90>
"HP DL380 Rack Rail Kit G8/G9/G10 - ProLiant DL385 Gen8/9/10 3.5"" Friction Rails",95.0,2022-08-31,https://www.ebay.com.au/itm/125461562511?hash=item1d3617848f%3Ag%3AJewAAOSwb2Vi9xWU&amdata=enc%3AAQAHAAAAoEhsxSp8w902qjKSh0gbX07kDW44hjuT392WJxMiaf55eHKjqm2d5y2niZm2MiCM3OdJXgyx6Xko%2F7FVVz9Ek0mhL5nw14PbzC5nmbPzyH6OT%2BCS64H5jv3zssx%2F0KzLLFp%2BCfhIoK%2FTCPGphuDJjaoBt0BRLXuxFvVkp44y6jItgPGNzeVKc7NkQhqCMFF3E8P0r%2BmBO7iqh3mRxuYI030%3D%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36750>
"2.5"" HDD hard drive tray caddy for HP DL380 ML350 DL360 G10 Gen10 NVMe server",33.59,2022-08-15,https://www.ebay.com.au/itm/293694016948?hash=item4461870db4%3Ag%3APWQAAOSwcVZfOgaK&amdata=enc%3AAQAHAAAAoInsK%2BFvRfCs8Ldm%2Bld%2BSXkTUBZFPRUxX%2FBmLviXZA2uH%2BNPNLtz1Cy%2BxG94Mf3iJtXcpee9Qjq6MuVDgUNRjYfn%2Bn8s0HVzPS4znN1XxltO0i6LIVkKPdZa1EvNwIdI4EIn5G7spAaaeGldYMXf8zHtinC%2BHVwqXCMXLhOFZZwV21mVJ6pE%2FC2URCTVVXLSbqg8R7PSg9iy4Qc5MCtYhJw%3D%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36710>
HP ProLiant DL380 G10 Gen10 2x Intel Xeon Gold 6154  1.25TB Ram  2x 960GB 16x2TB,17750.0,2022-08-14,https://www.ebay.com.au/itm/185500046064?epid=23031735376&hash=item2b30aa12f0%3Ag%3AY3UAAOSwh85iz3eD&amdata=enc%3AAQAHAAAAoI9YTca6FP9jR5jsX0X5oDCDIb69LYfk9gyO4gCdKzAL2H8yNiQ8JgTVXKedxp9jIBnGCp54v%2BHXq3ioXPNixYmJUKzaffFC9gFAwoQFL36yTj3PmR2qPoXiPl5bOnxiC%2B4ZsTybdKenGl1uWpqJNi9%2BAAxvF%2BBXG0%2FVHROKBEVhjOyUqE%2BRdtUEk6qzYOTNTh7uT4vYa8GLRT%2FkPSEzAUA%3D%7Ctkp%3ABk9SR_yZmdmIYQ&LH_Auction=%270%27,<md5 _hashlib.HASH object @ 0x000002005AC36790>
